"name","Cucina","Servizio","QualitaPrezzo","Atmosfera","Means"
"1","LungarnoBistrot",44,42,43,44,43.25
"2","RistoranteCucchietta",43,42,44,44,43.25
"3","BottegaConviviale",43,42,44,43,43
"4","CantinettaAllegri'TrattoriaFiorentina'",43,42,43,44,43
"5","LaBohèmeRestaurant&Café",43,42,44,43,43
"6","50SfumaturediGusto",43,41,43,44,42.75
"7","AnticaTrattoriaTreSoldi",42,42,43,44,42.75
"8","BraceriaBisteccheriaRistoranteSantaMariaNovella",43,41,43,44,42.75
"9","IlDescoBistrot",43,40,43,43,42.25
"10","LeCappelleMedicee",42,41,43,43,42.25
"11","RistoranteLaFalterona",42,41,43,43,42.25
"12","RistorantePizzeriaIlClarinetto",42,41,43,43,42.25
"13","RistoranteSant'Ambrogio",42,41,43,43,42.25
"14","TrattoriaOsteriaDaQue'Ganzi",42,41,43,43,42.25
"15","Mattacéna",42,41,42,43,42
"16","OsteriaVecchioCancello",42,41,42,43,42
"17","PizzaNapoli1955",42,40,43,43,42
"18","TouchBistròToscano",42,41,42,43,42
"19","TrattoriaCesarino",42,41,43,42,42
"20","TrattoriadaGiorgio",42,41,43,42,42
"21","TrattoriaGiovanni",42,41,42,43,42
"22","Borderline",42,40,42,43,41.75
"23","I'Tuscani3",42,40,42,43,41.75
"24","IlVivandiere",42,40,43,42,41.75
"25","IOosteriapersonale",42,40,42,43,41.75
"26","LaBuchettaFood&Winerestaurant",42,40,42,43,41.75
"27","LoSchiacciaVino",42,40,43,42,41.75
"28","PizzaManviadell'Agnolo",42,40,42,43,41.75
"29","RistoranteAccademia",42,40,42,43,41.75
"30","RistoranteAllaGriglia",42,40,42,43,41.75
"31","TrattoriaPonteVecchio",41,41,42,43,41.75
"32","AuditoreRistoranteBraceria",42,40,43,41,41.5
"33","BorgoSanJacopo",42,40,41,43,41.5
"34","Chianineria-Trattoriadall'Oste",42,40,42,42,41.5
"35","FuocoMatto",41,40,42,43,41.5
"36","GustavinoPiazzaSignoria",42,40,42,42,41.5
"37","HostariailDesco",42,40,42,42,41.5
"38","I'Tuscani2",41,40,42,43,41.5
"39","IlNutino",41,40,43,42,41.5
"40","Natalino",42,40,41,43,41.5
"41","OsteriadiPoneta-Firenze",42,40,42,42,41.5
"42","Coquinarius",42,40,42,41,41.25
"43","HaveliIndianRestaurant",41,40,41,43,41.25
"44","IlPalagio-FourSeasonsHotel",41,40,41,43,41.25
"45","IlTeatro",41,40,42,42,41.25
"46","L'AngoloDelMare",41,40,42,42,41.25
"47","LaCocotteRestaurant",41,40,42,42,41.25
"48","LaMaremma",41,40,42,42,41.25
"49","MangiafuocoBracerie",41,40,42,42,41.25
"50","OsteriadelProconsolo",41,40,42,42,41.25
"51","RistoranteAcquapazza",41,40,41,43,41.25
"52","Settimo",41,40,42,42,41.25
"53","Acquacotta",41,40,41,42,41
"54","AnticoFattore",41,39,42,42,41
"55","daNerbone",42,39,40,43,41
"56","L'OsteriadiGiovanni",41,40,41,42,41
"57","PaniniToscani",42,40,41,41,41
"58","Cuculia-RistoranteLibreria",41,39,41,42,40.75
"59","EnotecaPittiGolaeCantina",41,39,41,42,40.75
"60","FermentoFood&Beer",41,39,42,41,40.75
"61","HostariadelBricco",40,39,42,42,40.75
"62","I'GironeDe'Ghiotti",41,39,42,41,40.75
"63","IlVezzo",41,39,41,42,40.75
"64","LaBottegadelBuonCaffè",41,39,41,42,40.75
"65","RistoranteLeFonticine",40,39,42,42,40.75
"66","CantinettadeiVerrazzano",41,39,41,41,40.5
"67","Cicalone",41,39,41,41,40.5
"68","ClubCulinarioToscanodaOsvaldo",40,39,41,42,40.5
"69","LaFettunta",40,39,41,42,40.5
"70","TrattoriaDiladdarno",40,39,41,42,40.5
"71","TrattoriaLaGratella",40,39,41,42,40.5
"72","BucaLapi",41,39,40,41,40.25
"73","LaBurrasca",40,39,41,41,40.25
"74","LaProsciutteriaFirenze",41,39,41,40,40.25
"75","Mr",41,38,40,42,40.25
"76","OsteriadelCinghialeBianco",40,39,41,41,40.25
"77","Parione",40,39,41,41,40.25
"78","RistoranteilPaiolo",40,39,41,41,40.25
"79","TrattoriaL'Oriuolo",40,39,41,41,40.25
"80","TrattoriaPandemoniodiCasaBrogi",40,39,40,42,40.25
"81","TrattoriaRoberto",40,39,41,41,40.25
"82","CacioVinoTrallallà",41,38,40,41,40
"83","SandwiChic",40,39,41,40,40
"84","TrattoriaNella",40,39,41,40,40
"85","AnticaTrattoriadaTito",40,38,40,41,39.75
"86","Da'Vinattieri",40,38,41,40,39.75
"87","IlBufaloTrippone",40,38,41,40,39.75
"88","Pane&Toscana",40,38,41,40,39.75
"89","All'AnticoVinaio",41,37,39,41,39.5
"90","CiroandSons",40,38,40,40,39.5
"91","DelFagioli",40,38,39,41,39.5
"92","I'Pizzacchiere",39,38,41,40,39.5
"93","I’Brindellone",39,38,40,41,39.5
"94","Brac",40,37,40,40,39.25
"95","'inoFirenze",40,37,39,40,39
"96","AmicidiPonteVecchio",39,37,39,41,39
"97","TrattoriaToscanaGozziSergio",39,37,39,40,38.75
"98","VinieVecchiSapori",39,37,40,39,38.75
"99","OsteriaIlBuongustai",39,36,39,38,38
"100","TrattoriaMario",39,36,38,39,38
"101","IFratellini",39,36,38,38,37.75
"102","IlCernacchino",38,36,39,38,37.75
